variant,seed,morph,task,avg_reward,success_rate_pct
object_only,1409,UR5e,PickPlaceCan,80.56129085511225,0.0
object_only,2008,UR5e,PickPlaceCan,42.4074091167714,0.0
object_only,1409,UR5e,Lift,300.5487569842444,54.6875
object_only,3296,UR5e,Wipe,124.55478781419379,0.0
object_only,2008,UR5e,Lift,109.63480206184795,1.5625
object_only,3296,UR5e,Door,354.11191357634925,71.875
object_only,3296,UR5e,PickPlaceCan,19.885276379314252,0.0
object_only,1409,UR5e,Door,152.81403347945525,0.0
object_only,3296,UR5e,Lift,121.94110890334923,0.0
object_only,1409,UR5e,Wipe,126.4096353023848,0.0
object_only,2008,UR5e,Door,159.83012631784004,4.6875
object_only,2008,UR5e,Wipe,142.7422996588466,0.0
avg_nodes,3296,UR5e,PickPlaceCan,67.47793815149609,0.0
avg_nodes,3296,UR5e,Wipe,133.83617009858654,0.0
avg_nodes,3296,UR5e,Lift,343.12319703203684,67.1875
avg_nodes,2008,UR5e,Lift,109.09220525447526,0.0
avg_nodes,1409,UR5e,Wipe,101.46211897567333,0.0
avg_nodes,1409,UR5e,Lift,115.32351940928856,1.5625
avg_nodes,2008,UR5e,Door,44.46905621544579,0.0
avg_nodes,3296,UR5e,Door,125.22101548220598,0.0
avg_nodes,2008,UR5e,Wipe,145.6148885097466,1.5625
avg_nodes,1409,UR5e,Door,214.04634780738888,46.875
avg_nodes,2008,UR5e,PickPlaceCan,15.997407608690366,0.0
avg_nodes,1409,UR5e,PickPlaceCan,39.299085284217206,0.0
allnodes,2008,UR5e,PickPlaceCan,30.408725503448462,0.0
allnodes,3296,UR5e,PickPlaceCan,45.905689836897885,0.0
allnodes,2008,UR5e,Door,144.79251764900437,28.125
allnodes,1409,UR5e,PickPlaceCan,3.8999147269486523,0.0
allnodes,1409,UR5e,Wipe,125.72487722130374,3.125
allnodes,2008,UR5e,Wipe,39.66847828224428,0.0
allnodes,3296,UR5e,Wipe,22.97925953225238,0.0
allnodes,1409,UR5e,Door,57.92877318645333,0.0
allnodes,3296,UR5e,Lift,172.10011821333387,26.5625
allnodes,2008,UR5e,Lift,32.057086403261884,0.0
allnodes,3296,UR5e,Door,112.61284362045262,0.0
allnodes,1409,UR5e,Lift,37.35890756426946,0.0
