Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1757866340.786	    44.683	0	0	0	0	run_single_attr_job 2 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Jaco LiftBall scale 6 2.5000 2008
3	:	1757866340.795	    44.740	0	0	0	0	run_single_attr_job 3 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Jaco LiftBall scale 6 2.5000 3296
1	:	1757866340.778	    44.820	0	0	0	0	run_single_attr_job 1 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Jaco LiftBall scale 6 2.5000 1409
4	:	1757866340.803	    46.258	0	0	0	0	run_single_attr_job 4 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Jaco LiftCylinder scale 6 2.5000 1409
5	:	1757866340.810	    47.269	0	0	0	0	run_single_attr_job 5 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Jaco LiftCylinder scale 6 2.5000 2008
6	:	1757866340.819	    47.592	0	0	0	0	run_single_attr_job 6 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Jaco LiftCylinder scale 6 2.5000 3296
7	:	1757866385.477	    46.217	0	0	0	0	run_single_attr_job 7 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Kinova3 LiftBall scale 6 2.5000 1409
8	:	1757866385.543	    46.214	0	0	0	0	run_single_attr_job 8 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Kinova3 LiftBall scale 6 2.5000 2008
9	:	1757866385.611	    46.572	0	0	0	0	run_single_attr_job 9 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Kinova3 LiftBall scale 6 2.5000 3296
10	:	1757866387.071	    46.564	0	0	0	0	run_single_attr_job 10 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Kinova3 LiftCylinder scale 6 2.5000 1409
12	:	1757866388.424	    45.838	0	0	0	0	run_single_attr_job 12 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Kinova3 LiftCylinder scale 6 2.5000 3296
11	:	1757866388.088	    48.132	0	0	0	0	run_single_attr_job 11 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Kinova3 LiftCylinder scale 6 2.5000 2008
18	:	1757866436.230	    10.161	0	0	0	0	run_single_attr_job 18 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Jaco LiftCylinder scale 5 0.3000 3296
15	:	1757866432.195	    43.233	0	0	0	0	run_single_attr_job 15 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Jaco LiftBall scale 5 0.3000 3296
