Method,Morph,Task,Attribute_Type,Sample_Index,Attribute_Value,Success_Rate_Mean,Success_Rate_Std,Avg_Reward_Mean,Avg_Reward_Std
avg_nodes,Jaco,LiftBall,scale,6,2.5000,0.00,0.00,12.07,0.00
avg_nodes,Jaco,LiftCylinder,scale,6,2.5000,0.00,0.00,174.61,0.00
avg_nodes,Kinova3,LiftBall,scale,6,2.5000,0.00,0.00,222.12,0.00
avg_nodes,Kinova3,LiftCylinder,scale,6,2.5000,0.00,0.00,48.81,0.00
avg_nodes,Jaco,LiftBall,scale,5,0.3000,0.00,0.00,162.97,0.00
avg_nodes,Jaco,LiftCylinder,scale,5,0.3000,0.00,0.00,193.56,0.00
avg_nodes,Kinova3,LiftBall,scale,5,0.3000,0.00,0.00,193.35,0.00
avg_nodes,Kinova3,LiftCylinder,scale,5,0.3000,0.00,0.00,89.35,0.00
avg_nodes,Jaco,LiftBall,scale,4,0.8248,0.00,0.00,149.35,0.00
avg_nodes,Jaco,LiftCylinder,scale,4,0.8248,0.00,0.00,0.00,0.00
avg_nodes,Kinova3,LiftBall,scale,4,0.8248,0.00,0.00,0.00,0.00
avg_nodes,Kinova3,LiftCylinder,scale,4,0.8248,0.00,0.00,0.00,0.00
avg_nodes,Jaco,LiftBall,scale,3,1.1789,0.00,0.00,0.00,0.00
avg_nodes,Jaco,LiftCylinder,scale,3,1.1789,0.00,0.00,0.00,0.00
avg_nodes,Kinova3,LiftBall,scale,3,1.1789,0.00,0.00,118.62,0.00
avg_nodes,Kinova3,LiftCylinder,scale,3,1.1789,100.00,0.00,432.56,0.00
avg_nodes,Jaco,LiftBall,scale,2,1.2856,0.00,0.00,142.91,0.00
avg_nodes,Jaco,LiftCylinder,scale,2,1.2856,0.00,0.00,175.34,0.00
avg_nodes,Kinova3,LiftBall,scale,2,1.2856,0.00,0.00,43.39,0.00
avg_nodes,Kinova3,LiftCylinder,scale,2,1.2856,100.00,0.00,457.25,0.00
avg_nodes,Jaco,LiftBall,scale,1,1.4606,0.00,0.00,177.14,0.00
avg_nodes,Jaco,LiftCylinder,scale,1,1.4606,0.00,0.00,194.02,0.00
avg_nodes,Kinova3,LiftBall,scale,1,1.4606,0.00,0.00,82.56,0.00
avg_nodes,Kinova3,LiftCylinder,scale,1,1.4606,100.00,0.00,430.75,0.00
avg_nodes,Jaco,LiftBall,scale,0,0.9996,0.00,0.00,183.78,0.00
avg_nodes,Jaco,LiftCylinder,scale,0,0.9996,0.00,0.00,175.44,0.00
avg_nodes,Kinova3,LiftBall,scale,0,0.9996,0.00,0.00,145.29,0.00
avg_nodes,Kinova3,LiftCylinder,scale,0,0.9996,0.00,0.00,128.83,0.00
avg_nodes,Jaco,LiftBall,density,6,2000.00,0.00,0.00,146.02,0.00
avg_nodes,Jaco,LiftCylinder,density,6,2000.00,0.00,0.00,0.00,0.00
avg_nodes,Kinova3,LiftBall,density,6,2000.00,0.00,0.00,0.00,0.00
avg_nodes,Kinova3,LiftCylinder,density,6,2000.00,0.00,0.00,138.61,0.00
avg_nodes,Jaco,LiftBall,density,5,100.00,0.00,0.00,0.00,0.00
avg_nodes,Jaco,LiftCylinder,density,5,100.00,0.00,0.00,175.43,0.00
avg_nodes,Kinova3,LiftBall,density,5,100.00,0.00,0.00,0.00,0.00
avg_nodes,Kinova3,LiftCylinder,density,5,100.00,0.00,0.00,151.56,0.00
avg_nodes,Jaco,LiftBall,density,4,937.27,0.00,0.00,183.72,0.00
avg_nodes,Jaco,LiftCylinder,density,4,937.27,0.00,0.00,183.06,0.00
avg_nodes,Kinova3,LiftBall,density,4,937.27,0.00,0.00,160.44,0.00
avg_nodes,Kinova3,LiftCylinder,density,4,937.27,100.00,0.00,479.78,0.00
avg_nodes,Jaco,LiftBall,density,3,841.00,0.00,0.00,0.00,0.00
avg_nodes,Jaco,LiftCylinder,density,3,841.00,0.00,0.00,175.70,0.00
avg_nodes,Kinova3,LiftBall,density,3,841.00,100.00,0.00,451.31,0.00
avg_nodes,Kinova3,LiftCylinder,density,3,841.00,0.00,0.00,0.00,0.00
avg_nodes,Jaco,LiftBall,density,2,1079.56,0.00,0.00,0.00,0.00
avg_nodes,Jaco,LiftCylinder,density,2,1079.56,0.00,0.00,135.37,0.00
avg_nodes,Kinova3,LiftBall,density,2,1079.56,100.00,0.00,437.93,0.00
avg_nodes,Kinova3,LiftCylinder,density,2,1079.56,100.00,0.00,479.27,0.00
avg_nodes,Jaco,LiftBall,density,1,352.28,0.00,0.00,183.59,0.00
avg_nodes,Jaco,LiftCylinder,density,1,352.28,0.00,0.00,0.00,0.00
avg_nodes,Kinova3,LiftBall,density,1,352.28,100.00,0.00,439.57,0.00
avg_nodes,Kinova3,LiftCylinder,density,1,352.28,0.00,0.00,0.00,0.00
avg_nodes,Jaco,LiftBall,density,0,440.40,0.00,0.00,183.72,0.00
avg_nodes,Jaco,LiftCylinder,density,0,440.40,0.00,0.00,134.93,0.00
avg_nodes,Kinova3,LiftBall,density,0,440.40,0.00,0.00,75.95,0.00
avg_nodes,Kinova3,LiftCylinder,density,0,440.40,0.00,0.00,0.00,0.00
avg_nodes,Jaco,LiftBall,friction,6,3.0000,0.00,0.00,183.72,0.00
avg_nodes,Jaco,LiftCylinder,friction,6,3.0000,0.00,0.00,175.42,0.00
avg_nodes,Kinova3,LiftBall,friction,6,3.0000,100.00,0.00,428.23,0.00
avg_nodes,Kinova3,LiftCylinder,friction,6,3.0000,100.00,0.00,478.56,0.00
avg_nodes,Jaco,LiftBall,friction,5,0.0500,0.00,0.00,146.02,0.00
avg_nodes,Jaco,LiftCylinder,friction,5,0.0500,0.00,0.00,135.36,0.00
avg_nodes,Kinova3,LiftBall,friction,5,0.0500,100.00,0.00,435.51,0.00
avg_nodes,Kinova3,LiftCylinder,friction,5,0.0500,0.00,0.00,144.27,0.00
avg_nodes,Jaco,LiftBall,friction,4,0.5727,0.00,0.00,183.72,0.00
avg_nodes,Jaco,LiftCylinder,friction,4,0.5727,0.00,0.00,175.42,0.00
avg_nodes,Kinova3,LiftBall,friction,4,0.5727,0.00,0.00,158.82,0.00
avg_nodes,Kinova3,LiftCylinder,friction,4,0.5727,0.00,0.00,144.27,0.00
avg_nodes,Jaco,LiftBall,friction,3,0.6185,0.00,0.00,183.72,0.00
avg_nodes,Jaco,LiftCylinder,friction,3,0.6185,0.00,0.00,0.00,0.00
avg_nodes,Kinova3,LiftBall,friction,3,0.6185,100.00,0.00,435.51,0.00
avg_nodes,Kinova3,LiftCylinder,friction,3,0.6185,0.00,0.00,44.54,0.00
avg_nodes,Jaco,LiftBall,friction,2,1.5487,0.00,0.00,183.59,0.00
avg_nodes,Jaco,LiftCylinder,friction,2,1.5487,0.00,0.00,134.33,0.00
avg_nodes,Kinova3,LiftBall,friction,2,1.5487,0.00,0.00,0.00,0.00
avg_nodes,Kinova3,LiftCylinder,friction,2,1.5487,0.00,0.00,135.20,0.00
avg_nodes,Jaco,LiftBall,friction,1,1.7549,0.00,0.00,146.02,0.00
avg_nodes,Jaco,LiftCylinder,friction,1,1.7549,0.00,0.00,182.95,0.00
avg_nodes,Kinova3,LiftBall,friction,1,1.7549,100.00,0.00,398.52,0.00
avg_nodes,Kinova3,LiftCylinder,friction,1,1.7549,0.00,0.00,134.91,0.00
avg_nodes,Jaco,LiftBall,friction,0,0.3309,0.00,0.00,146.02,0.00
avg_nodes,Jaco,LiftCylinder,friction,0,0.3309,0.00,0.00,182.96,0.00
avg_nodes,Kinova3,LiftBall,friction,0,0.3309,0.00,0.00,158.82,0.00
avg_nodes,Kinova3,LiftCylinder,friction,0,0.3309,0.00,0.00,144.27,0.00
